time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst
2017-05-03T12:42:48.150Z,-16.136,-73.4694,48.35,5.1,mww,,129,3.724,0.92,us,us10008nt0,2017-05-03T13:18:37.687Z,"97km WNW of Camana, Peru",earthquake,6.9,6.5,,
2017-05-03T08:53:37.510Z,42.1441,46.9653,10,5.2,mb,,31,2.607,1.34,us,us10008nrz,2017-05-03T09:46:41.853Z,"12km WSW of Kumukh, Russia",earthquake,4.7,1.7,0.034,290
2017-05-03T05:36:31.350Z,39.5178,71.3464,10,4.8,mb,,61,0.675,1.46,us,us10008nqk,2017-05-03T05:53:14.040Z,"34km NNW of Karakenja, Tajikistan",earthquake,4.9,1.5,0.078,51
2017-05-03T05:09:52.690Z,-59.7975,-27.4022,122.43,5,mb,,52,8.666,0.71,us,us10008nqa,2017-05-03T05:30:56.040Z,"98km SSW of Bristol Island, South Sandwich Islands",earthquake,11.1,6.8,0.082,48
2017-05-03T05:08:48.720Z,71.1991,-8.563,10,4.8,mb,,54,4.468,0.71,us,us10008nq8,2017-05-03T05:57:14.040Z,"31km N of Olonkinbyen, Svalbard and Jan Mayen",earthquake,3.4,1.9,0.053,110
2017-05-03T04:47:13.540Z,39.51,71.4027,10,5.9,mww,,46,0.708,1.08,us,us10008npq,2017-05-03T16:23:00.040Z,"32km NNW of Karakenja, Tajikistan",earthquake,4.7,1.9,,
2017-05-03T04:46:55.590Z,39.533,71.3138,10,4.8,mb,,51,0.648,1.21,us,us10008npr,2017-05-03T12:49:33.628Z,"37km NNW of Karakenja, Tajikistan",earthquake,5,1.9,0.057,94
2017-05-03T04:43:52.370Z,-13.7494,167.1747,194.53,4.6,mb,,67,6.989,0.72,us,us10008npp,2017-05-03T05:03:29.040Z,"43km WNW of Sola, Vanuatu",earthquake,10.1,7.6,0.064,73
2017-05-02T21:12:11.540Z,35.8557,60.5732,10,5.1,mb,,53,2.005,0.79,us,us10008nl9,2017-05-03T07:31:57.948Z,"68km N of Torbat-e Jam, Iran",earthquake,6.6,1.9,0.05,133
2017-05-02T20:02:46.120Z,-9.6058,111.8188,12.69,4.6,mb,,72,2.114,1.22,us,us10008nkc,2017-05-02T21:14:41.040Z,"147km SSW of Tambakrejo, Indonesia",earthquake,6.5,4.6,0.067,69
2017-05-02T15:10:22.370Z,-11.7183,-13.9218,10,5.9,mww,,57,3.786,0.47,us,us10008n0i,2017-05-02T20:09:26.040Z,Ascension Island region,earthquake,9.1,1.8,0.073,18
2017-05-02T14:07:00.140Z,-24.2446,-175.7616,10,5.1,mb,,91,7.474,0.84,us,us10008n03,2017-05-02T15:44:37.040Z,South of Tonga,earthquake,11.4,1.8,0.081,49
2017-05-02T13:36:50.320Z,38.0063,20.3574,10,4.5,mb,,136,1.494,1.39,us,us10008mzs,2017-05-02T15:18:18.040Z,"22km SSW of Argostolion, Greece",earthquake,4.1,1.8,0.128,18
2017-05-02T00:51:51.110Z,-14.779,167.4574,148.68,4.7,mb,,72,5.969,0.87,us,us10008mv0,2017-05-02T01:10:40.040Z,"53km NE of Port-Olry, Vanuatu",earthquake,11.1,8,0.08,47
2017-05-01T16:30:42.570Z,38.2323,42.9158,10,4.5,mb,,51,0.137,0.89,us,us10008mku,2017-05-01T18:19:18.040Z,"15km NE of Bahcesaray, Turkey",earthquake,5,1.9,0.097,31
2017-05-01T15:42:18.290Z,-5.9726,130.6808,137.63,4.5,mb,,103,2.089,0.64,us,us10008mjh,2017-05-01T17:11:24.040Z,"229km NNW of Saumlaki, Indonesia",earthquake,7.7,8.2,0.076,51
2017-05-01T14:59:10.530Z,59.7433,-136.583,5.92,-4.5,mb,,94,0.596,0.67,us,us10008mi7,2017-05-02T02:39:37.850Z,"78km WNW of Skagway, Alaska",earthquake,4.9,2.4,0.384,2
2017-05-01T14:26:56.870Z,0.0341,123.4478,139.64,4.6,mb,,53,1.264,0.77,us,us10008mhj,2017-05-01T16:49:43.040Z,"46km SE of Bilungala, Indonesia",earthquake,8.1,6.1,0.087,39
2017-05-01T14:18:17.580Z,59.7708,-136.689,20,6.3,mww,,34,0.55,1.02,us,us10008mgu,2017-05-03T01:24:51.122Z,"85km WNW of Skagway, Alaska",earthquake,4.6,1.5,,
2017-05-01T13:48:05.640Z,43.6258,-28.7723,10,4.8,mb,,50,4.916,0.71,us,us10008mgj,2017-05-01T15:20:21.040Z,Northern Mid-Atlantic Ridge,earthquake,9.8,1.9,0.043,167
2017-05-01T12:49:18.810Z,59.8685,-136.8369,4.58,5.2,mb,,79,0.515,0.85,us,us10008mes,2017-05-02T06:04:23.493Z,"97km WNW of Skagway, Alaska",earthquake,4.3,3.8,0.122,22
2017-05-01T12:31:54.500Z,59.8438,-136.6945,2.18,6.2,mww,,28,0.57,0.94,us,us10008mel,2017-05-03T07:48:36.507Z,"88km WNW of Skagway, Alaska",earthquake,4.4,3.3,,
2017-05-01T11:08:18.240Z,0.3351,-17.5231,10,4.9,mb,,165,14.117,0.53,us,us10008mef,2017-05-01T11:26:22.040Z,North of Ascension Island,earthquake,14.4,1.9,0.088,41
2017-05-01T10:43:20.910Z,-9.5381,111.802,36.88,4.8,mb,,101,2.051,0.92,us,us10008me9,2017-05-01T12:32:20.040Z,"140km SSW of Tambakrejo, Indonesia",earthquake,8.1,6.7,0.099,31
2017-05-01T08:36:27.020Z,7.0758,-104.4985,10,4.9,mb,,173,11.923,0.96,us,us10008mdv,2017-05-01T09:09:53.040Z,Northern East Pacific Rise,earthquake,12.5,1.9,0.028,388
2017-05-01T08:35:21.310Z,6.8596,-104.4414,10,4.5,mb,,182,12.086,0.74,us,us10008mdw,2017-05-01T13:04:58.040Z,Galapagos Triple Junction region,earthquake,13.4,1.9,0.049,121
2017-05-01T08:28:40.880Z,-37.5026,177.7638,148.25,4.6,mb,,92,0.435,1.26,us,us10008mdp,2017-05-01T12:42:43.040Z,"77km NNE of Opotiki, New Zealand",earthquake,10.9,7.6,0.111,24
2017-05-01T07:17:30.200Z,6.9717,-104.4152,10,500.3,mb,,194,11.975,0.65,us,us10008mdc,2017-05-01T07:38:28.040Z,Galapagos Triple Junction region,earthquake,11.8,1.9,0.026,493
2017-05-01T05:36:56.570Z,-8.3767,120.9828,187.51,4.6,mb,,46,1.267,1.22,us,us10008md6,2017-05-01T06:36:04.040Z,"3km NNW of Mbarungkeli, Indonesia",earthquake,6.8,4.9,0.106,27
2017-05-01T04:36:34.970Z,52.4188,-170.098,51.64,4.7,mb,,157,0.423,1.03,us,us10008mcx,2017-05-01T05:05:38.321Z,"47km ESE of Yunaska Island, Alaska",earthquake,7.8,6.2,0.034,263
2017-05-01T03:09:07.040Z,-5.9071,151.1629,27.47,5,mb,,59,1.974,1.04,us,us10008mck,2017-05-01T03:47:37.040Z,"119km ESE of Kimbe, Papua New Guinea",earthquake,7.9,5.5,0.062,82
2017-04-30T17:35:49.090Z,-15.5752,-72.5681,10,4.7,mb,,191,3.502,0.74,us,us10008m8y,2017-04-30T17:49:55.040Z,"41km SW of Orcopampa, Peru",earthquake,7.6,1.9,0.152,13
2017-04-30T16:37:29.810Z,0.7853,98.4767,59.04,5,mb,,68,1.037,0.68,us,us10008m8k,2017-04-30T18:54:01.040Z,"108km SW of Padangsidempuan, Indonesia",earthquake,6.9,5.5,0.055,107
2017-04-30T14:50:50.790Z,-15.7472,-72.0315,10,4.6,mb,,146,3.069,0.87,us,us10008m80,2017-04-30T16:59:02.040Z,"29km N of Lluta, Peru",earthquake,4.1,1.9,0.125,19
2017-04-30T14:42:35.570Z,42.2953,1042.9882,60.17,5.3,mb,,70,0.307,0.59,us,us10008m7z,2017-05-01T13:29:34.344Z,"51km E of Shizunai, Japan",earthquake,7.6,4.6,0.029,386
2017-04-30T13:35:54.210Z,-15.8422,-72.5663,9.11,4.8,mb,,142,3.293,0.63,us,us10008m7m,2017-04-30T15:33:11.040Z,"62km WNW of Lluta, Peru",earthquake,10,5.8,0.135,17
2017-04-30T13:29:09.960Z,-15.7431,-71.8771,10,5.2,mb,,100,2.997,0.68,us,us10008m7l,2017-04-30T14:36:57.000Z,"31km WSW of Chivay, Peru",earthquake,5,1.8,0.037,242
2017-04-30T12:22:41.080Z,-28.9248,-175.5158,4.64,5.2,mb,,154,2.136,1.43,us,us10008m78,2017-04-30T12:41:34.040Z,"235km E of Raoul Island, New Zealand",earthquake,11.2,6.9,0.066,75
2017-04-30T10:30:32.790Z,35.6083,140.2551,57.94,4.5,mb,,135,1.906,0.91,us,us10008m6r,2017-05-02T11:26:47.876Z,"7km SW of Yachimata, Japan",earthquake,7,8.2,0.102,28
2017-04-30T09:50:17.410Z,11.2625,-86.8164,35.66,4.5,mb,,145,1.079,0.45,us,us10008m6n,2017-04-30T18:16:55.041Z,"66km SSW of Masachapa, Nicaragua",earthquake,2.8,12.6,0.087,38
2017-04-30T09:36:01.530Z,-20.0354,-70.992,10.6,5.2,mb,,114,0.841,0.87,us,us10008m6e,2017-05-02T22:37:03.040Z,"91km WNW of Iquique, Chile",earthquake,2.3,4.6,0.033,294
2017-04-30T08:28:51.690Z,1.611,98.6104,93.16,4.5,mb,,110,1.078,0.96,us,us10008m6a,2017-04-30T08:49:35.040Z,"23km SW of Sibolga, Indonesia",earthquake,5.5,8.3,0.102,28
2017-04-30T05:15:22.360Z,-52.9009,27.5226,10,5,mb,,106,19.633,0.48,us,us10008m5k,2017-04-30T05:35:59.040Z,South of Africa,earthquake,12.9,1.9,0.081,48
2017-04-30T01:57:21.940Z,21.2934,121.7923,99.59,5.4,mb,,52,1.654,0.94,us,us10008m4p,2017-05-03T16:28:11.040Z,"56km N of Itbayat, Philippines",earthquake,8.1,5.7,0.032,336
2017-04-29T23:49:19.280Z,18.6229,145.6728,213.05,5,mb,,96,5.064,0.85,us,us10008m4b,2017-04-30T00:07:08.040Z,"15km S of Agrihan, Northern Mariana Islands",earthquake,9.2,7.2,0.031,323
2017-04-29T22:33:34.800Z,-10.1881,161.1997,120.36,5,mb,,96,1.441,0.67,us,us10008m3n,2017-04-29T22:52:30.040Z,"84km WNW of Kirakira, Solomon Islands",earthquake,9.6,6.9,0.042,184
2017-04-29T22:17:04.330Z,-5.8807,129.9032,155.41,94.6,mb,,91,2.506,1.15,us,us10008m3e,2017-04-29T22:38:35.040Z,"277km NW of Saumlaki, Indonesia",earthquake,8.7,10.4,0.145,14
2017-04-29T20:22:58.240Z,30.7721,131.3963,12.05,5,mb,,116,1.093,0.96,us,us10008m2m,2017-04-29T20:56:38.040Z,"38km E of Nishinoomote, Japan",earthquake,4.4,4.6,0.041,190
2017-04-29T19:42:05.040Z,5.3758,124.9272,10,4.7,mb,,103,1.803,1.16,us,us10008m2k,2017-04-29T21:32:29.040Z,"52km SW of Burias, Philippines",earthquake,6.7,1.9,0.064,74
2017-04-29T19:40:48.540Z,30.7776,131.3981,10,4.5,mb,,126,1.09,0.55,us,us10008m2i,2017-04-29T21:10:16.040Z,"38km E of Nishinoomote, Japan",earthquake,2.8,1.9,0.1,29
2017-04-29T17:58:43.760Z,11.1583,-86.7936,40.73,4.8,mb,,104,1.162,0.9,us,us10008m1x,2017-05-02T15:23:39.040Z,"75km SSW of Masachapa, Nicaragua",earthquake,6,6.7,0.03,339
2017-04-29T17:52:21.450Z,0.5795,99.5136,10,4.7,mwr,,128,1.546,0.63,us,us10008m1q,2017-05-02T15:02:56.040Z,"91km SSE of Padangsidempuan, Indonesia",earthquake,6.2,1.8,0.089,12
2017-04-29T15:45:59.130Z,-9.6031,111.759,48.07,4.8,mb,,127,2.077,0.96,us,us10008m0z,2017-04-29T16:02:07.040Z,"147km SSE of Ngulung Wetan, Indonesia",earthquake,9,8.8,0.107,27
2017-04-29T14:30:05.960Z,-9.6106,111.8023,26.24,4.9,mb,,130,2.108,0.93,us,us10008m0t,2017-04-29T15:06:40.040Z,"148km SSW of Tambakrejo, Indonesia",earthquake,8.3,6.5,0.114,24
2017-04-29T13:40:33.080Z,30.7349,131.343,28.94,4.6,mb,,126,1.085,1.16,us,us10008m0m,2017-04-29T14:06:00.040Z,"32km E of Nishinoomote, Japan",earthquake,6.8,6.5,0.111,24
2017-04-29T12:32:32.690Z,30.8134,131.4291,21.39,5.7,mww,,28,1.087,0.84,us,us10008m0g,2017-05-02T22:27:50.040Z,"42km ENE of Nishinoomote, Japan",earthquake,5.7,4.5,,
2017-04-29T11:15:48.886Z,63.1296,-151.1517,10.8,5.2,ml,,,,0.65,ak,ak15831649,2017-05-01T12:38:20.662Z,"111km NNW of Talkeetna, Alaska",earthquake,,0.2,,
2017-04-29T10:53:22.570Z,-6.1323,29.9683,10,5.3,mb,,42,5.547,1.21,us,us10008m05,2017-04-30T05:33:11.009Z,"88km ESE of Kalemie, Democratic Republic of the Congo",earthquake,8.6,1.8,0.052,124
2017-04-29T10:06:34.790Z,3.7945,-75.9226,77.61,5.2,mb,,68,1.907,1.14,us,us10008lzv,2017-04-30T10:59:13.763Z,"13km NE of La Cumbre, Colombia",earthquake,7,7.8,0.025,511
2017-04-29T10:02:12.810Z,-9.662,111.8448,10,5.6,mww,,39,2.174,1.56,us,us10008lzr,2017-05-02T22:08:36.040Z,"152km SSW of Tambakrejo, Indonesia",earthquake,6.9,1.8,,
2017-04-29T08:50:13.340Z,-520.1632,-173.4074,10,4.8,mb,,88,3.454,1,us,us10008lz3,2017-04-29T09:31:24.040Z,"106km ESE of Pangai, Tonga",earthquake,9.9,1.9,0.113,24
2017-04-29T08:36:25.550Z,24.8421,127.9106,10,5,mb,,100,2.012,0.69,us,us10008lyy,2017-05-02T20:53:55.040Z,"144km S of Itoman, Japan",earthquake,7.4,1.9,0.06,89
2017-04-29T04:32:57.580Z,13.8562,120.8024,94.9,4.5,mb,,128,8.917,0.98,us,us10008ly5,2017-04-30T07:22:05.834Z,"7km SW of Sinisian, Philippines",earthquake,11.2,8.8,0.071,58
2017-04-29T01:46:02.100Z,-33.2224,-71.9235,15.65,5,mb,,68,0.311,0.71,us,us10008lwz,2017-05-02T17:47:10.040Z,"34km SW of Valparaiso, Chile",earthquake,4.8,2.4,0.043,172
2017-04-29T01:08:35.080Z,-33.3534,-71.9906,19.61,4.5,mb,,81,0.436,1.07,us,us10008lwq,2017-04-29T02:16:44.194Z,"42km WNW of Cartagena, Chile",earthquake,4.5,3.6,0.135,16
2017-04-28T21:01:09.590Z,26.3434,142.0203,41.36,4.6,mb,,103,0.763,1.09,us,us10008ltv,2017-04-29T21:48:23.040Z,"84km SSW of Chichi-shima, Japan",earthquake,8.4,6.5,0.053,105
2017-04-28T20:23:17.320Z,5.5164,125.0933,26,6.9,mww,,23,5.231,0.98,us,us10008ls4,2017-05-02T07:29:19.349Z,"28km SW of Burias, Philippines",earthquake,5.9,1.8,0.044,49
2017-04-28T17:41:49.050Z,-33.2734,-71.9666,18.44,5.3,mww,,61,0.372,0.7,us,us10008lnm,2017-04-29T15:30:49.372Z,"40km SW of Valparaiso, Chile",earthquake,3.9,1.8,0.062,25
2017-04-28T17:41:08.410Z,-33.2258,-72.1205,18.52,4.5,mb,,137,0.453,0.84,us,us10008lnk,2017-04-29T16:51:19.484Z,"50km WSW of Valparaiso, Chile",earthquake,3.9,1.5,0.131,17
2017-04-28T17:09:39.650Z,-33.1962,-72.1364,19.63,4.6,mwr,,70,0.453,0.73,us,us10008lmu,2017-04-29T14:08:34.491Z,"50km WSW of Valparaiso, Chile",earthquake,4.2,1.9,0.037,72
2017-04-28T16:18:42.070Z,-33.2149,-72.1957,10,4.7,mb,,138,0.506,1.31,us,us10008lm7,2017-04-28T17:25:10.568Z,"56km WSW of Valparaiso, Chile",earthquake,4.5,1.9,0.159,12
2017-04-28T16:05:55.410Z,-33.1204,-71.8243,14.31,5.7,mww,,61,0.563,0.97,us,us10008lm3,2017-05-03T04:31:55.626Z,"20km WSW of Valparaiso, Chile",earthquake,4.9,3.5,,
2017-04-28T15:58:34.230Z,-33.2387,-72.027,24.19,5.3,mwr,,103,0.391,0.87,us,us10008lm1,2017-04-29T02:08:16.931Z,"43km WSW of Valparaiso, Chile",earthquake,4.2,5.8,0.039,63
2017-04-28T15:56:59.680Z,-33.2695,-72.057,23.63,4.5,ml,,173,0.429,0.76,us,us10008llu,2017-04-28T22:17:32.417Z,"47km WSW of Valparaiso, Chile",earthquake,2.3,11.4,0.048,56
2017-04-28T15:49:40.100Z,-33.189,-71.8539,10,5.2,mb,,67,0.245,1.14,us,us10008llp,2017-04-29T02:02:15.546Z,"26km SW of Valparaiso, Chile",earthquake,4.4,1.9,0.153,14
2017-04-28T15:40:23.780Z,-33.2619,-71.9475,20,4.9,mb,,130,0.352,0.93,us,us10008lli,2017-04-28T18:51:27.881Z,"38km SW of Valparaiso, Chile",earthquake,3.7,3.6,0.094,35
2017-04-28T15:33:29.150Z,-33.2898,-71.982,21.48,5,mb,,152,0.393,0.68,us,us10008llm,2017-04-28T18:50:56.898Z,"43km SW of Valparaiso, Chile",earthquake,1.7,5.8,0.107,28
2017-04-28T15:30:05.400Z,-33.2469,-71.9968,20.41,5.9,mww,,69,0.375,1.33,us,us10008llg,2017-04-29T16:49:34.997Z,"41km SW of Valparaiso, Chile",earthquake,4.3,5.7,0.066,22
2017-04-28T07:53:03.370Z,11.6258,-85.9694,176.38,4.6,mb,,134,0.674,0.58,us,us10008lix,2017-04-28T08:10:58.040Z,"16km NNW of Belen, Nicaragua",earthquake,3.3,7.4,0.094,34
2017-04-28T06:23:26.820Z,51.5121,-178.3653,51.6,4.7,mb,,69,0.828,1.02,us,us10008lih,2017-04-28T17:50:38.702Z,"44km SSW of Tanaga Volcano, Alaska",earthquake,8.3,6.5,0.044,154
2017-04-28T05:01:26.210Z,41.9297,76.7602,15.09,4.8,mb,,71,1.824,0.9,us,us10008li5,2017-04-28T06:44:54.174Z,"28km SW of Bokonbayevo, Kyrgyzstan",earthquake,7.7,5,0.067,69
2017-04-28T05:00:39.450Z,-8.9407,122.9882,113.67,4.5,mb,,97,0.801,1.27,us,us10008li6,2017-04-28T05:32:45.040Z,"45km SE of Watubuku, Indonesia",earthquake,8.5,8.3,0.164,11
2017-04-28T01:10:28.220Z,11.1131,-86.8096,34.7,4.5,mb,,154,1.21,0.86,us,us10008lh2,2017-04-28T01:44:06.040Z,"81km SSW of Masachapa, Nicaragua",earthquake,6.5,3.7,0.061,81
2017-04-27T23:39:10.120Z,51.3154,178.753,42.63,5,mb,,123,2.61,0.68,us,us10008lg1,2017-04-29T05:26:31.040Z,"72km SSE of Little Sitkin Island, Alaska",earthquake,8.4,5.6,0.027,448
2017-04-27T21:27:29.310Z,22.6711,60.8412,10,4.8,mb,,77,4.812,1.15,us,us10008lf3,2017-04-29T22:00:27.040Z,"135km E of Sur, Oman",earthquake,6.1,1.6,0.053,112
2017-04-27T18:46:42.410Z,-16.5095,-173.6705,33.32,5.5,mb,,27,3.165,0.88,us,us10008ld1,2017-04-28T15:18:17.040Z,"62km S of Hihifo, Tonga",earthquake,7.9,3.4,0.026,505
2017-04-27T14:46:33.600Z,51.2571,178.6165,19,5.7,mww,,125,2.707,1.29,us,us10008lai,2017-04-27T16:48:38.182Z,"77km S of Little Sitkin Island, Alaska",earthquake,8.1,1.8,0.051,37
2017-04-27T13:35:20.340Z,-55.8317,-30.2192,32.86,5.1,mb,,77,19.657,1.18,us,us10008lac,2017-04-27T13:52:19.040Z,"210km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,12.6,5.4,0.087,43
2017-04-27T12:04:27.150Z,35.3519,21.4233,10,4.9,mb,,59,1.867,0.91,us,us10008l9j,2017-04-27T12:22:36.040Z,"164km S of Methoni, Greece",earthquake,7,1.9,0.049,133
2017-04-27T09:31:18.750Z,-10.4013,161.065,45.65,4.9,mb,,96,1.458,1.14,us,us10008l93,2017-04-27T09:52:50.040Z,"93km W of Kirakira, Solomon Islands",earthquake,10.3,7.9,0.056,98
2017-04-27T08:24:40.170Z,-33.2566,-71.9474,20.87,4.7,mwr,,68,0.349,0.68,us,us10008l8p,2017-04-27T17:58:51.593Z,"38km SW of Valparaiso, Chile",earthquake,4.5,4.7,0.039,62
2017-04-27T07:03:12.880Z,-8.8752,112.4672,71.21,4.6,mb,,116,1.713,1.36,us,us10008l8g,2017-04-27T08:45:20.040Z,"58km SSW of Krajan Tambakrejo, Indonesia",earthquake,8,4.1,0.136,16
2017-04-27T05:09:22.630Z,-33.2919,-71.9789,20.06,5,mwr,,69,0.392,0.79,us,us10008l82,2017-04-27T18:00:02.718Z,"43km SW of Valparaiso, Chile",earthquake,2.4,5.3,0.035,79
2017-04-27T03:45:54.490Z,8.4821,-39.5793,10,4.9,mb,,124,21.699,0.91,us,us10008l7j,2017-04-27T04:04:02.040Z,Central Mid-Atlantic Ridge,earthquake,9.6,1.8,0.048,138
2017-04-26T22:57:52.580Z,10.0526,57.4229,10,4.5,mb,,144,14.396,0.73,us,us10008l6c,2017-04-26T23:15:57.040Z,Carlsberg Ridge,earthquake,11.7,1.9,0.076,50
2017-04-26T22:28:31.470Z,-54.9267,-130.3338,10,5,mb,,88,31.379,1.11,us,us10008l61,2017-04-27T18:36:40.040Z,Pacific-Antarctic Ridge,earthquake,14.4,1.8,0.1,32
2017-04-26T22:25:19.790Z,-22.1451,-179.5842,574.18,4.7,mb,,110,4.909,0.78,us,us10008l5y,2017-04-26T22:43:01.040Z,"189km SSW of Ndoi Island, Fiji",earthquake,11.5,8.4,0.073,56
2017-04-26T18:12:32.580Z,-19.7143,-69.3219,108.39,5.4,mww,,84,0.128,1.09,us,us10008l3j,2017-04-27T18:27:48.185Z,"102km ENE of Iquique, Chile",earthquake,5.7,3.5,0.06,27
2017-04-26T17:31:13.810Z,-17.9432,-178.4681,568.32,5,mb,,74,3.319,0.93,us,us10008l2y,2017-04-26T21:12:54.040Z,"284km SE of Lambasa, Fiji",earthquake,10.4,5.1,0.027,433
